review_id,customer_id,hotel_id,rating,review_text,review_date
600,117,203,4,Good stay,2023-07-30
601,120,203,4,Good stay,2024-02-27
602,119,201,5,Good stay,2023-06-13
603,117,204,3,Good stay,2023-06-27
604,118,203,4,Good stay,2023-10-06
605,101,201,5,Good stay,2023-05-27
606,117,201,3,Good stay,2023-01-29
607,109,201,4,Good stay,2023-11-12
608,119,202,5,Good stay,2023-04-23
609,119,201,5,Good stay,2023-02-04
610,110,201,5,Good stay,2023-01-24
611,101,203,4,Good stay,2023-04-12
612,119,203,4,Good stay,2024-02-10
613,117,201,3,Good stay,2023-09-20
614,112,201,3,Good stay,2023-07-19
615,107,204,5,Good stay,2023-12-24
616,117,204,4,Good stay,2023-02-15
617,103,204,3,Good stay,2023-01-23
618,117,204,4,Good stay,2023-08-24
619,117,202,4,Good stay,2023-04-20
620,109,201,3,Good stay,2023-02-24
621,107,202,5,Good stay,2023-12-03
622,104,201,5,Good stay,2023-02-17
623,114,203,5,Good stay,2023-01-02
624,118,201,3,Good stay,2024-01-19
625,101,201,5,Good stay,2023-06-30
626,120,203,3,Good stay,2023-04-29
627,117,202,3,Good stay,2023-04-17
628,105,204,3,Good stay,2023-04-12
629,100,203,4,Good stay,2023-03-31
630,100,204,3,Good stay,2023-01-08
